Name;Path;Data Type;Logical Address;Comment;Kind;Station
2b_Curved_Belt_Conveyor_8_C2;Standard-Variablentabelle;Bool;%A3.5;2b | Factory I/O: 2b_Curved Belt Conveyor 8 C2;PLC;Standard-Variablentabelle
3a_Left_Positioner_2_Raise;Standard-Variablentabelle;Bool;%A4.0;3a | Factory I/O: 3a_Left Positioner 2 (Raise);PLC;Standard-Variablentabelle
3a_Left_Positioner_Metal_Baugruppe_Clamp;Standard-Variablentabelle;Bool;%A4.1;3a | Factory I/O: 3a_Left Positioner _Metal_Baugruppe(Clamp);PLC;Standard-Variablentabelle
3a_Motor_at_PP_Base;Standard-Variablentabelle;Bool;%A4.2;3a | Factory I/O: 3a_Motor_at_PP_Base;PLC;Standard-Variablentabelle
3a_Motor_at_PP_Lid;Standard-Variablentabelle;Bool;%A4.3;3a | Factory I/O: 3a_Motor_at_PP_Lid;PLC;Standard-Variablentabelle
3a_Nach_Waage_Curved_Belt_Conveyor_0_CW;Standard-Variablentabelle;Bool;%A4.4;3a | Factory I/O: 3a_Nach_Waage_Curved Belt Conveyor 0 CW;PLC;Standard-Variablentabelle
3a_Right_Lid_Positioner_0_Clamp;Standard-Variablentabelle;Bool;%A4.5;3a | Factory I/O: 3a_Right_Lid_Positioner 0 (Clamp);PLC;Standard-Variablentabelle
3a_Right_Lid_Positioner_0_Raise;Standard-Variablentabelle;Bool;%A4.6;3a | Factory I/O: 3a_Right_Lid_Positioner 0 (Raise);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Grab;Standard-Variablentabelle;Bool;%A4.7;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 (Grab);PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Rotate_CW;Standard-Variablentabelle;Bool;%A5.0;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 Rotate CW;PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Gripper_CW;Standard-Variablentabelle;Bool;%A5.1;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 Gripper CW;PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Rotate_CCW;Standard-Variablentabelle;Bool;%A5.2;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 Rotate CCW;PLC;Standard-Variablentabelle
3a_Two_Axis_Pick_and_Place_0_Gripper_CCW;Standard-Variablentabelle;Bool;%A5.3;3a | Factory I/O: 3a_Two-Axis Pick & Place 0 Gripper CCW;PLC;Standard-Variablentabelle
3a_Waage_Conveyor_Scale_0_Plus;Standard-Variablentabelle;Bool;%A5.4;3a | Factory I/O: 3a_Waage_Conveyor Scale 0 (+);PLC;Standard-Variablentabelle
3b_Belt_Conveyor_2m_6;Standard-Variablentabelle;Bool;%A6.0;3b | Factory I/O: 3b_Belt Conveyor (2m) 6;PLC;Standard-Variablentabelle
3b_Belt_Conveyor_2m_13;Standard-Variablentabelle;Bool;%A6.1;3b | Factory I/O: 3b_Belt Conveyor (2m) 13;PLC;Standard-Variablentabelle
3b_Conveyor_Scale_2_Plus;Standard-Variablentabelle;Bool;%A6.2;3b | Factory I/O: 3b_Conveyor Scale 2 (+);PLC;Standard-Variablentabelle
